2024-02-15T02:47:55.470138Z [warning  ] No state was found, complete import.
2024-02-15T02:47:56.754083Z [info     ] 2024-02-14 23:47:56,753 | INFO     | tap-postgres.information_schema-check_constraints | Beginning full_table sync of 'information_schema-check_constraints'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.754361Z [info     ] 2024-02-14 23:47:56,753 | INFO     | tap-postgres.information_schema-check_constraints | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.920375Z [info     ] 2024-02-14 23:47:56,919 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.16598987579345703, "tags": {"stream": "information_schema-check_constraints", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.921116Z [info     ] 2024-02-14 23:47:56,920 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 523, "tags": {"stream": "information_schema-check_constraints", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.921557Z [info     ] 2024-02-14 23:47:56,920 | INFO     | tap-postgres.information_schema-collation_character_set_applicability | Beginning full_table sync of 'information_schema-collation_character_set_applicability'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.922093Z [info     ] 2024-02-14 23:47:56,920 | INFO     | tap-postgres.information_schema-collation_character_set_applicability | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.117981Z [info     ] 2024-02-14 23:47:57,117 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.19615650177001953, "tags": {"stream": "information_schema-collation_character_set_applicability", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.118923Z [info     ] 2024-02-14 23:47:57,117 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 813, "tags": {"stream": "information_schema-collation_character_set_applicability", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.119941Z [info     ] 2024-02-14 23:47:57,118 | INFO     | tap-postgres.information_schema-collations | Beginning full_table sync of 'information_schema-collations'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.121257Z [info     ] 2024-02-14 23:47:57,118 | INFO     | tap-postgres.information_schema-collations | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.368251Z [info     ] 2024-02-14 23:47:57,367 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.24843168258666992, "tags": {"stream": "information_schema-collations", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.369332Z [info     ] 2024-02-14 23:47:57,369 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 813, "tags": {"stream": "information_schema-collations", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.370867Z [info     ] 2024-02-14 23:47:57,370 | INFO     | tap-postgres.information_schema-column_column_usage | Beginning full_table sync of 'information_schema-column_column_usage'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.371760Z [info     ] 2024-02-14 23:47:57,371 | INFO     | tap-postgres.information_schema-column_column_usage | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.398272Z [info     ] 2024-02-14 23:47:57,396 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.024692773818969727, "tags": {"stream": "information_schema-column_column_usage", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.399855Z [info     ] 2024-02-14 23:47:57,399 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "information_schema-column_column_usage", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.402798Z [info     ] 2024-02-14 23:47:57,401 | INFO     | tap-postgres.information_schema-column_domain_usage | Beginning full_table sync of 'information_schema-column_domain_usage'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.403295Z [info     ] 2024-02-14 23:47:57,401 | INFO     | tap-postgres.information_schema-column_domain_usage | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.618126Z [info     ] 2024-02-14 23:47:57,617 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.21564435958862305, "tags": {"stream": "information_schema-column_domain_usage", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.619297Z [info     ] 2024-02-14 23:47:57,618 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 666, "tags": {"stream": "information_schema-column_domain_usage", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.621685Z [info     ] 2024-02-14 23:47:57,621 | INFO     | tap-postgres.information_schema-column_options | Beginning full_table sync of 'information_schema-column_options'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.622671Z [info     ] 2024-02-14 23:47:57,622 | INFO     | tap-postgres.information_schema-column_options | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.674141Z [info     ] 2024-02-14 23:47:57,657 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03335690498352051, "tags": {"stream": "information_schema-column_options", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.674730Z [info     ] 2024-02-14 23:47:57,657 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "information_schema-column_options", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:57.675165Z [info     ] 2024-02-14 23:47:57,659 | INFO     | tap-postgres.information_schema-column_privileges | Beginning full_table sync of 'information_schema-column_privileges'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
